,,,,,,,,,,,
,PROPOSED ALTTERATION & ADDITION TO EXISTING HOUSE AT RAJAGIRIYA FOR MRS. PRADEEPA,,,,,,,,,,
,,,,,,,,,,,
,PRICED BILL OF QUANTITIES,,,,,,,,,,
,,,,,,,,,,,
,Item No.,Description,Unit,Qty, Rate  , Amount ,,,,,
,,,,,,,,,,,
#stage,A,Demolishing,,,,,,,,,
#item,A.1,Removing of Gate with bottom and top rails,Item,1," 15,000.00 "," 15,000.00 ",,,,,
,,,,,,,,,,,
#item,A.2,Cutting slab to provede Separate access to frist floor from Garage. (apprx. Area 3.5' x 2.5') ,Item,1," 5,000.00 "," 5,000.00 ",,,,,
,,,,,,,,,,,
#item,A.3,Demolishing brick wall to provide Separate access to frist floor from garage. (apprx. Area 3.5' x 8') ,Item,1," 5,000.00 "," 5,000.00 ",,,,,
,,,,,,,,,,,
#item,A.4,Removing existing steel canopies fixed at walls above windows,Item,1," 7,500.00 "," 7,500.00 ",,,,,
,,,,,,,,,,,
#item,A.5,"Removing exsisting timber window sash at Ground floor. (apprx. Size 2' 0"" x 7' 0"")",Nr,5, 500.00 ," 2,500.00 ",,,,,
,,,,,,,,,,,
#item,A.6,"Removing exsisting timber window sash at Frist floor. (apprx. Size 2' 9"" x 5' 0"")",Nr,3, 500.00 ," 1,500.00 ",,,,,
,,,,,,,,,,,
#item,A.7,"Removing exsisting timber sliding door sashes at Frist Floor (apprx. Size 2' 6""x8' 3"")",Nr,4, 500.00 ," 2,000.00 ",,,,,
,,,,,,,,,,,
#item,A.8,"Removing exsisting glassed door sashes at Frist Floor (apprx. Size 3' 9""x8' 3"")",Nr,1, 500.00 , 500.00 ,,,,,
,,,,,,,,,,,
#item,A.9,"Removing of timber fanlight with frame at first Floor (apprx. Size 1' 6"" x 2' 0"")",Nr,2," 1,000.00 "," 2,000.00 ",,,,,
,,,,,,,,,,,
#item,A.10,"Removing exsisting timber window with frame at second floor. (apprx. Size 9' 0""x6' 2"")",Nr,1," 2,000.00 "," 2,000.00 ",,,,,
,,,,,,,,,,,
#item,A.11,"Removing exsisting timber sliding door with frame at Second Floor (apprx. Size 9' 6""x8' 3"")",Nr,1," 2,500.00 "," 2,500.00 ",,,,,
,,,,,,,,,,,
#item,A.12,"Removing exsisting glassed door with frame at second floor. (apprx. Size 3' 9""x8' 3"")",Nr,1," 1,500.00 "," 1,500.00 ",,,,,
,,,,,,,,,,,
#item,A.13,"Removing of timber fanlight with frame at second floor. (apprx. Size 3' 3"" x 3' 0"")",Nr,1, 750.00 , 750.00 ,,,,,
,,,,,,,,,,,
#item,A.14,"Removing exsisting timber window sash at second floor. (apprx. Size 2' 9"" x 5' 10"")",Nr,6, 500.00 ," 3,000.00 ",,,,,
,,,,,,,,,,,
#item,A.15,Cleaining site and debris clear away from the site,Item,1," 30,000.00 "," 30,000.00 ",,,,,
,,,,,,,,,,,
,,Dimolishing work Carried to Summary,,,," 80,750.00 ",,,,,
,,,,,,,,,,,
#stage,B,Concrete Work,,,,,,,,,
